,Ticker,weekly,monthly,3m,6m,12m
102,ARKK,Strong Bear,Strong Bear,Strong Bull,Chop,Strong Bear
103,IMO,Strong Bull,Weak Bear,Weak Bull,Strong Bull,Weak Bull
104,AMD,Weak Bear,Strong Bull,Strong Bull,Strong Bull,Strong Bear
105,NVDA,Weak Bull,Strong Bull,Strong Bull,Strong Bull,Weak Bear
106,Z,Weak Bear,Weak Bull,Strong Bull,Strong Bull,Strong Bear
107,BCE,Strong Bull,Strong Bull,Strong Bull,Strong Bull,Strong Bear
108,NTR,Strong Bear,Strong Bear,Chop,Strong Bear,Strong Bear
109,CRM,Strong Bull,Strong Bull,Strong Bull,Strong Bull,Strong Bear
110,OXY,Strong Bull,Strong Bull,Weak Bear,Strong Bull,Strong Bull
111,CVX,Chop,Strong Bear,Strong Bear,Strong Bull,Weak Bear
112,XOM,Chop,Strong Bear,Chop,Strong Bull,Strong Bull
113,ADM,Weak Bull,Strong Bear,Strong Bear,Weak Bear,Strong Bear
114,RTX,Strong Bear,Strong Bear,Strong Bear,Strong Bull,Weak Bear
115,LMT,Strong Bear,Strong Bear,Weak Bear,Strong Bull,Strong Bull
116,INTC,Strong Bull,Strong Bull,Strong Bull,Strong Bull,Strong Bear
117,TSM,Strong Bear,Strong Bull,Strong Bull,Strong Bull,Strong Bear
118,SHOP,Strong Bear,Strong Bull,Strong Bull,Strong Bull,Strong Bear
119,AB,Chop,Strong Bear,Strong Bull,Weak Bear,Strong Bear
